Avg sleep time,Avg study time,Avg video game time,BMI,In a relationship,Family financial status,GPA,Laptop brand,TOEIC grade,IQ,Grade
8,7,0,23.0,Yes,average,2.4000000000000004,Microsoft,725,137,80+
7,3,3,24.0,Yes,high,3.4000000000000004,Acer,730,120,60~80
7,3,0,19.0,No,average,3.8000000000000003,Dell,510,112,80+
12,6,0,28.0,Yes,high,3.2,MSI,805,147,60~80
7,3,4,35.0,Yes,high,3.9000000000000004,Microsoft,530,127,80+
7,4,0,20.0,Yes,low,3.9000000000000004,MSI,990,131,80+
11,3,1,35.0,No,low,2.4000000000000004,MSI,555,119,60-
7,3,13,27.0,No,low,3.8000000000000003,Leveno,625,109,80+
6,4,12,34.0,No,low,3.8000000000000003,Leveno,135,146,80+
6,3,3,30.0,No,high,3.6,Asus,780,131,80+
8,4,5,21.0,Yes,low,3.6,Acer,550,127,60-
8,3,12,32.0,No,average,4.2,MSI,525,104,80+
9,6,0,35.0,No,low,1.8,HP,375,148,80+
7,3,10,22.0,Yes,high,2.0,Leveno,120,111,60-
10,4,0,30.0,Yes,high,2.3000000000000003,Dell,470,124,60~80
5,5,12,32.0,No,low,2.6,Others,490,126,60-
7,7,2,21.0,No,low,3.0,Asus,390,142,80+
7,7,0,23.0,Yes,average,3.0,Others,0,149,60~80
5,2,10,26.0,Yes,average,2.6,Acer,420,101,60-
9,4,2,20.0,No,low,2.9000000000000004,Razer,770,132,60-
7,4,0,33.0,Yes,average,2.7,Apple,0,122,60~80
12,4,1,26.0,No,low,3.0,Razer,395,108,60~80
12,6,5,21.0,No,high,3.9000000000000004,Microsoft,110,101,80+
5,5,1,33.0,Yes,high,2.3000000000000003,Dell,840,112,60~80
7,6,0,25.0,No,high,1.8,Asus,470,149,60-
7,6,9,21.0,No,high,2.9000000000000004,Microsoft,890,100,60~80
12,4,2,25.0,No,low,3.2,Microsoft,830,141,60~80
8,2,3,29.0,Yes,average,4.1000000000000005,Microsoft,335,104,80+
7,4,5,29.0,Yes,high,2.7,Acer,505,105,60-
7,4,0,19.0,Yes,average,1.9000000000000001,MSI,570,123,80+
7,12,2,31.0,Yes,high,3.0,Leveno,325,105,60~80
7,4,1,27.0,No,average,2.9000000000000004,Dell,980,126,80+
6,3,12,31.0,Yes,low,3.8000000000000003,Apple,640,130,80+
8,7,6,29.0,Yes,average,4.2,Others,790,114,80+
6,4,0,28.0,Yes,average,2.6,HP,370,114,80+
7,13,2,33.0,Yes,low,3.6,Razer,585,127,60~80
5,3,0,35.0,Yes,low,3.8000000000000003,Others,570,104,80+
7,4,0,33.0,No,low,3.2,Asus,635,113,60~80
8,10,0,24.0,No,high,2.0,Leveno,925,131,60-
6,4,9,20.0,Yes,high,2.1,Razer,465,118,60-
6,4,3,31.0,Yes,average,3.0,Asus,380,120,60~80
6,4,6,26.0,Yes,high,2.6,HP,540,135,60-
7,5,1,30.0,No,average,3.0,Acer,405,120,60-
6,6,0,25.0,No,average,2.3000000000000003,Microsoft,760,141,60-
5,7,3,35.0,No,average,2.1,HP,385,146,60-
7,5,0,31.0,Yes,high,1.9000000000000001,Microsoft,590,145,60~80
6,12,11,27.0,Yes,high,2.5,Razer,675,153,80+
7,9,2,31.0,Yes,average,3.7,HP,145,133,80+
6,7,3,26.0,Yes,low,4.2,HP,60,146,80+
8,3,0,29.0,No,low,2.4000000000000004,Apple,440,143,60~80
9,5,0,20.0,No,high,3.3000000000000003,Acer,470,118,60-
8,2,3,23.0,No,average,4.1000000000000005,MSI,990,102,80+
6,10,3,35.0,No,average,2.1,MSI,675,141,60-
7,4,0,34.0,No,average,1.9000000000000001,Dell,530,126,60-
6,5,2,34.0,Yes,high,3.4000000000000004,Razer,535,137,60~80
6,3,4,22.0,No,low,2.0,Apple,305,117,60~80
3,7,1,30.0,Yes,average,2.3000000000000003,Acer,465,137,60-
8,5,7,31.0,No,low,2.3000000000000003,Apple,640,101,60-
7,3,8,28.0,No,average,1.9000000000000001,Acer,330,105,60-
6,5,11,31.0,Yes,high,3.3000000000000003,HP,365,139,60-
4,8,11,30.0,No,average,3.9000000000000004,Razer,265,123,80+
6,3,2,31.0,Yes,average,3.2,HP,860,127,60~80
7,6,2,29.0,No,average,3.6,Leveno,230,139,80+
8,7,4,19.0,No,average,4.2,Microsoft,465,118,80+
9,3,10,21.0,No,high,4.3,Others,405,112,80+
4,4,2,33.0,Yes,average,2.3000000000000003,Leveno,550,112,80+
6,4,12,21.0,Yes,high,3.9000000000000004,Asus,505,110,80+
7,3,5,31.0,No,average,3.9000000000000004,Apple,395,123,80+
10,4,3,34.0,Yes,high,3.2,Apple,870,100,80+
8,5,5,28.0,No,high,2.1,Acer,510,137,60-
9,3,1,20.0,No,average,3.9000000000000004,Microsoft,465,127,80+
9,7,8,33.0,Yes,average,4.1000000000000005,HP,450,178,80+
7,13,3,24.0,No,high,3.9000000000000004,Apple,350,126,80+
7,5,2,26.0,No,high,3.6,Others,750,138,80+
8,4,0,34.0,Yes,high,4.1000000000000005,MSI,525,104,80+
5,2,2,22.0,No,average,1.8,Asus,365,124,60-
8,3,0,23.0,Yes,high,4.0,Apple,595,114,80+
9,6,7,22.0,No,high,2.8000000000000003,Asus,595,136,60~80
7,4,2,35.0,Yes,average,2.2,Acer,895,137,80+
8,8,8,19.0,Yes,high,2.0,Leveno,30,128,60-
8,4,0,25.0,Yes,average,4.1000000000000005,Acer,765,149,80+
6,2,4,25.0,No,average,4.2,Acer,300,125,80+
7,3,13,35.0,No,average,3.5,Leveno,245,137,60-
5,4,0,22.0,Yes,high,3.7,Others,825,146,80+
6,6,3,20.0,No,low,4.2,Apple,845,124,80+
8,3,2,29.0,No,average,2.0,Others,365,117,60-
6,5,10,35.0,No,average,4.3,Razer,410,115,80+
11,5,11,25.0,Yes,low,3.8000000000000003,Asus,175,148,80+
4,7,0,20.0,Yes,average,2.8000000000000003,Others,750,144,60-
7,1,1,20.0,No,high,1.8,Microsoft,505,136,60-
6,6,0,31.0,No,high,3.1,HP,50,142,80+
8,1,1,20.0,No,high,4.0,Microsoft,360,135,80+
8,3,1,21.0,Yes,low,3.1,Others,145,101,80+
8,4,1,26.0,Yes,low,4.1000000000000005,Acer,385,132,80+
7,3,7,35.0,No,average,1.8,Razer,555,111,60-
8,4,1,34.0,No,low,3.4000000000000004,HP,625,101,80+
3,4,0,35.0,No,low,3.1,Acer,350,174,80+
6,2,2,24.0,No,average,1.9000000000000001,Microsoft,990,126,60~80
8,6,6,19.0,No,average,2.9000000000000004,MSI,425,122,60-
9,4,13,26.0,Yes,average,2.5,Asus,315,135,60-
6,4,13,22.0,No,high,2.4000000000000004,Razer,465,170,80+
7,4,9,24.0,Yes,low,2.4000000000000004,MSI,675,119,60-
7,4,12,21.0,No,high,4.0,HP,450,142,80+
12,2,13,24.0,Yes,average,1.8,Dell,680,111,60-
5,3,12,22.0,No,average,3.3000000000000003,Asus,525,130,60-
5,5,11,22.0,No,high,2.8000000000000003,Razer,755,120,60~80
6,5,1,34.0,Yes,average,3.1,Acer,395,109,60-
4,4,0,26.0,Yes,average,2.3000000000000003,Dell,365,101,60~80
10,5,2,23.0,No,average,3.6,Others,475,131,60~80
9,5,4,32.0,No,low,2.8000000000000003,Leveno,185,104,80+
7,4,1,21.0,No,low,4.0,Others,820,141,80+
8,6,2,21.0,Yes,high,2.8000000000000003,Asus,485,124,80+
7,5,1,33.0,No,high,4.1000000000000005,Apple,990,116,80+
8,8,4,29.0,Yes,high,3.3000000000000003,Others,175,137,60~80
6,3,0,27.0,No,high,3.3000000000000003,Dell,755,116,60-
6,8,2,26.0,No,average,3.9000000000000004,MSI,570,119,80+
3,6,13,22.0,No,average,2.1,Razer,600,122,80+
8,5,12,30.0,Yes,low,1.9000000000000001,MSI,675,134,60-
6,4,6,31.0,Yes,high,2.0,Apple,325,137,80+
8,5,6,19.0,No,low,4.2,Razer,595,140,80+
8,3,2,31.0,No,high,2.5,Others,795,111,60-
8,6,8,31.0,Yes,average,2.3000000000000003,Leveno,570,110,60-
6,11,1,24.0,Yes,high,3.1,Others,735,137,60~80
5,2,5,33.0,No,high,2.0,Razer,715,130,60-
6,5,0,23.0,No,high,4.3,Dell,865,146,80+
6,7,7,23.0,No,high,2.2,HP,425,123,60-
8,3,3,31.0,Yes,average,2.0,Razer,535,146,60~80
5,3,6,33.0,Yes,high,3.3000000000000003,MSI,465,118,60-
6,5,11,31.0,No,high,3.2,Apple,245,109,80+
6,3,1,23.0,Yes,average,2.1,Razer,35,117,80+
6,3,0,22.0,No,high,1.8,MSI,680,133,80+
7,8,11,33.0,Yes,low,2.6,Dell,545,145,60-
4,5,0,23.0,No,low,2.3000000000000003,Leveno,0,119,80+
8,11,2,35.0,No,low,3.3000000000000003,Acer,435,138,60-
4,2,0,22.0,No,average,4.3,Asus,855,112,80+
6,3,0,22.0,No,low,2.9000000000000004,Apple,435,146,60-
7,8,4,35.0,Yes,high,1.9000000000000001,Microsoft,385,116,60-
9,5,10,27.0,Yes,high,3.9000000000000004,Dell,435,129,80+
7,7,12,27.0,No,average,3.4000000000000004,Others,135,149,60~80
7,8,2,24.0,No,average,2.2,Dell,525,123,80+
7,7,0,32.0,Yes,high,3.8000000000000003,Others,745,131,80+
7,3,1,33.0,No,average,3.1,Others,600,117,80+
6,5,2,26.0,Yes,high,4.2,Apple,535,142,80+
8,10,2,22.0,No,high,3.6,MSI,780,136,60-
7,4,13,19.0,No,high,3.7,Razer,645,149,80+
7,2,2,32.0,Yes,high,2.6,Dell,600,143,60~80
5,6,9,35.0,No,low,3.7,Asus,80,116,80+
8,7,2,26.0,Yes,average,3.0,Microsoft,610,104,80+
4,6,0,34.0,Yes,average,2.0,Leveno,615,100,60~80
10,3,2,19.0,Yes,average,2.9000000000000004,HP,465,147,60-
6,3,1,20.0,No,high,3.5,Razer,405,107,60-
5,7,8,30.0,No,high,1.3,Razer,295,113,60-
6,3,1,35.0,Yes,average,3.3000000000000003,Others,990,114,60~80
8,6,2,26.0,No,low,3.0,Dell,835,134,60~80
6,6,9,33.0,Yes,high,2.4000000000000004,Others,590,104,60-
7,4,4,33.0,Yes,average,2.1,Acer,895,106,60~80
6,3,13,32.0,Yes,low,2.7,Razer,395,126,60-
9,9,10,32.0,No,low,2.2,Asus,510,113,60~80
9,4,7,34.0,No,low,3.5,Apple,985,125,60-
9,7,0,31.0,Yes,high,4.3,Dell,460,136,80+
7,3,0,28.0,Yes,high,2.9000000000000004,Leveno,570,119,60-
8,4,3,25.0,Yes,low,2.4000000000000004,Leveno,635,143,60~80
6,4,2,23.0,Yes,high,1.8,Acer,490,119,60-
9,3,1,26.0,Yes,high,3.1,Dell,985,135,60-
8,3,2,31.0,Yes,low,2.3000000000000003,MSI,735,138,60-
7,4,1,32.0,Yes,high,2.9000000000000004,Dell,910,148,80+
6,7,7,25.0,No,low,2.0,Dell,385,104,80+
7,3,1,29.0,No,high,4.3,Razer,20,141,80+
8,8,0,19.0,Yes,low,2.6,Acer,155,148,60-
6,5,8,24.0,Yes,high,3.3000000000000003,Razer,320,113,60-
7,3,1,35.0,No,average,2.0,Acer,0,106,60~80
6,7,6,35.0,No,average,3.5,Acer,375,144,60-
5,5,3,32.0,Yes,average,3.6,Others,370,136,80+
6,5,12,35.0,Yes,average,1.9000000000000001,MSI,440,149,60-
9,2,11,33.0,No,high,2.6,Acer,185,128,60-
5,6,12,19.0,No,high,2.3000000000000003,Dell,445,124,80+
6,4,3,31.0,No,low,3.1,Microsoft,410,141,80+
9,8,3,22.0,Yes,low,3.4000000000000004,Apple,470,132,60~80
9,4,5,29.0,Yes,low,4.3,Acer,110,104,80+
5,4,2,28.0,Yes,average,1.8,MSI,90,146,60~80
8,5,9,20.0,No,low,2.8000000000000003,Microsoft,305,112,60-
6,3,0,28.0,Yes,high,3.0,HP,475,101,80+
6,3,5,20.0,Yes,high,2.8000000000000003,Asus,180,124,60-
5,5,2,19.0,No,low,2.2,Microsoft,625,106,60~80
3,3,0,33.0,No,low,2.2,Microsoft,125,113,60~80
6,4,2,25.0,Yes,average,3.3000000000000003,HP,500,121,60-
5,3,0,33.0,No,high,3.6,Apple,555,121,80+
8,8,2,24.0,No,low,2.2,Others,285,125,80+
10,2,12,20.0,Yes,low,3.2,Microsoft,360,139,60-
7,8,0,30.0,Yes,high,2.0,Razer,305,120,80+
12,3,3,27.0,No,average,2.0,Apple,125,117,80+
7,1,9,34.0,No,average,4.3,Acer,230,145,80+
8,4,0,27.0,No,high,4.2,HP,460,171,80+
5,3,1,22.0,Yes,high,3.6,Acer,305,148,60-
9,4,1,31.0,Yes,low,4.3,Microsoft,990,135,80+
10,2,13,19.0,Yes,high,4.0,Apple,605,114,80+
5,4,6,32.0,No,low,4.0,Asus,485,114,80+
11,4,1,28.0,No,average,3.0,HP,230,138,60-
11,3,0,19.0,Yes,low,4.2,Acer,800,106,80+
7,4,2,23.0,Yes,low,2.3000000000000003,HP,610,137,80+
4,3,2,22.0,No,high,2.9000000000000004,Apple,820,118,80+
7,1,5,30.0,Yes,low,3.5,Acer,520,118,60-
6,7,1,33.0,No,high,2.0,Leveno,990,143,80+
7,5,3,25.0,Yes,low,3.7,Apple,515,100,80+
6,5,8,34.0,No,low,2.4000000000000004,Dell,550,128,60-
5,3,1,26.0,No,low,4.1000000000000005,HP,640,108,80+
8,3,13,32.0,Yes,low,2.6,Apple,595,117,60-
5,5,7,29.0,Yes,high,2.7,Leveno,575,120,60-
9,1,0,27.0,Yes,low,2.5,Others,810,121,60-
7,3,6,19.0,Yes,high,2.8000000000000003,Dell,320,140,60-
7,2,3,34.0,Yes,high,3.0,HP,335,131,60-
8,2,2,35.0,No,low,3.8000000000000003,Others,870,116,80+
7,4,10,20.0,No,low,3.8000000000000003,Acer,450,144,80+
7,6,1,29.0,No,average,4.0,Microsoft,590,115,80+
12,6,0,24.0,Yes,low,3.6,Others,440,119,60-
7,7,2,27.0,No,high,3.0,Dell,315,137,60-
6,6,3,30.0,Yes,high,3.0,Microsoft,925,105,60~80
6,2,2,26.0,Yes,low,2.6,Dell,650,145,60~80
4,3,2,24.0,No,high,3.7,Apple,370,126,80+
6,7,6,33.0,Yes,high,2.4000000000000004,Acer,720,136,60-
8,7,1,31.0,Yes,high,2.0,MSI,575,140,80+
10,4,3,20.0,No,average,2.2,Leveno,350,120,60~80
5,5,3,32.0,No,low,3.5,Others,615,157,80+
6,4,5,34.0,Yes,average,2.2,Microsoft,895,108,60~80
5,2,0,20.0,No,high,2.8000000000000003,HP,840,138,60~80
7,2,1,31.0,Yes,average,2.3000000000000003,HP,295,130,60-
6,3,12,25.0,No,high,2.6,Dell,515,136,60-
6,2,3,21.0,Yes,high,2.4000000000000004,Microsoft,255,130,60~80
7,3,0,27.0,Yes,average,3.9000000000000004,Microsoft,375,102,80+
9,3,2,32.0,No,average,4.1000000000000005,Dell,225,144,80+
6,3,3,24.0,No,low,3.1,Leveno,760,145,80+
7,3,2,19.0,No,high,2.0,Others,0,111,60~80
8,3,8,22.0,No,average,2.3000000000000003,MSI,685,118,60-
7,4,0,32.0,Yes,average,3.7,Apple,895,120,80+
10,4,6,25.0,Yes,average,2.4000000000000004,Razer,860,137,60-
8,3,0,23.0,No,high,3.8000000000000003,Apple,755,127,80+
9,5,0,30.0,Yes,low,4.3,Asus,535,132,80+
8,3,2,34.0,Yes,high,2.4000000000000004,HP,525,131,80+
6,10,1,35.0,Yes,average,4.3,Leveno,100,149,80+
8,2,2,34.0,No,low,2.9000000000000004,MSI,300,102,60-
7,4,9,25.0,Yes,low,1.9000000000000001,Asus,735,109,60-
3,8,10,31.0,Yes,average,3.5,Others,930,116,60~80
9,3,8,19.0,Yes,average,2.5,Acer,745,127,60-
10,4,13,27.0,Yes,low,3.2,Apple,940,121,60-
10,11,2,35.0,Yes,low,2.0,Apple,305,105,80+
7,4,11,26.0,No,high,4.0,Dell,800,113,80+
8,1,8,29.0,No,low,1.8,Apple,495,135,60-
6,2,3,32.0,Yes,average,2.8000000000000003,Asus,720,120,60~80
9,3,5,29.0,No,low,4.0,HP,345,118,80+
5,7,5,34.0,No,low,4.2,HP,625,142,80+
5,5,2,20.0,Yes,low,2.8000000000000003,Microsoft,745,128,60-
9,7,4,33.0,No,low,2.5,Leveno,395,142,80+
11,2,0,19.0,No,high,3.2,Razer,170,139,60~80
10,2,6,24.0,No,average,2.9000000000000004,HP,810,102,60-
5,2,1,19.0,Yes,average,2.8000000000000003,Asus,595,115,80+
6,5,6,32.0,Yes,average,4.1000000000000005,Microsoft,210,116,80+
8,8,10,31.0,No,high,3.3000000000000003,Acer,540,101,60~80
5,11,9,30.0,Yes,high,3.8000000000000003,Asus,60,108,80+
12,5,3,34.0,No,average,3.3000000000000003,MSI,455,131,80+
7,11,13,30.0,Yes,low,3.3000000000000003,Razer,990,140,60-
6,3,2,35.0,No,low,3.0,Razer,255,122,60-
7,2,2,25.0,Yes,average,2.4000000000000004,Others,440,122,80+
8,2,3,30.0,Yes,low,3.9000000000000004,Leveno,475,106,80+
7,5,2,34.0,No,high,3.2,Leveno,555,127,80+
5,7,2,21.0,Yes,high,3.8000000000000003,HP,605,143,80+
7,6,1,19.0,No,high,3.9000000000000004,MSI,465,149,80+
6,5,0,28.0,Yes,average,1.9000000000000001,Razer,990,123,60~80
8,3,2,31.0,No,high,3.3000000000000003,Leveno,310,105,60-
7,3,2,32.0,Yes,low,4.2,MSI,430,121,80+
8,3,2,32.0,No,average,3.8000000000000003,MSI,385,138,80+
8,5,0,22.0,Yes,high,2.3000000000000003,HP,530,105,60~80
6,1,9,24.0,Yes,high,3.8000000000000003,Others,755,133,80+
4,4,9,25.0,No,average,3.5,Microsoft,805,177,80+
6,3,13,29.0,Yes,high,3.2,Apple,385,107,80+
6,2,8,21.0,Yes,average,2.3000000000000003,Razer,280,106,60-
9,6,0,35.0,Yes,high,2.3000000000000003,HP,930,136,80+
5,2,2,29.0,No,low,1.8,Microsoft,550,118,80+
6,4,1,35.0,Yes,high,2.0,HP,850,129,60~80
8,4,2,21.0,Yes,average,2.2,HP,265,139,60-
11,5,1,21.0,No,high,3.2,Microsoft,695,118,60-
7,2,1,20.0,No,high,2.0,Others,695,119,60~80
9,2,8,19.0,No,average,3.4000000000000004,Microsoft,570,111,60-
6,3,4,29.0,Yes,high,3.6,Asus,915,141,60~80
8,4,0,33.0,Yes,average,4.0,Razer,265,112,80+
5,7,1,21.0,No,low,3.2,Acer,690,124,60~80
6,5,13,34.0,Yes,low,3.2,Apple,515,147,60-
4,3,4,23.0,No,high,1.9000000000000001,HP,760,145,60~80
9,4,0,33.0,Yes,high,2.5,Acer,265,143,60-
9,8,1,28.0,Yes,low,3.6,HP,335,128,60~80
5,7,3,20.0,Yes,low,2.5,HP,605,100,80+
7,4,2,19.0,Yes,high,2.6,Leveno,170,136,60-
12,3,2,21.0,Yes,high,3.4000000000000004,Apple,655,127,80+
7,4,1,22.0,No,low,2.9000000000000004,Dell,445,114,80+
7,5,1,30.0,No,high,2.2,Razer,245,130,80+
7,3,0,27.0,Yes,high,2.5,Razer,60,113,60-
7,2,2,27.0,Yes,low,1.9000000000000001,Acer,270,101,60~80
7,5,12,32.0,No,high,3.2,Others,255,105,60~80
8,5,0,21.0,No,average,2.6,HP,620,149,80+
8,7,5,27.0,Yes,high,1.9000000000000001,HP,160,124,60-
7,13,1,22.0,No,high,4.1000000000000005,Acer,580,136,80+
6,5,3,19.0,Yes,high,4.3,Leveno,510,130,80+
9,3,12,33.0,No,high,3.7,Acer,810,114,80+
12,4,3,28.0,Yes,high,2.0,HP,915,170,80+
6,4,1,33.0,No,average,3.1,Dell,660,172,80+
7,4,11,27.0,No,average,2.6,Dell,485,128,60-
6,14,13,29.0,Yes,average,4.0,Apple,770,114,80+
8,3,0,21.0,Yes,average,2.1,Others,115,120,60~80
7,10,9,34.0,No,average,4.3,HP,90,112,80+
