,Avg sleep time,Avg study time,Avg video game time,BMI,In a relationship,Family financial status,GPA,Laptop brand,TOEIC grade,IQ,Grade
0,7,4,13,20.0,No,average,3.0,HP,935,141,60-
1,7,4,0,34.0,No,high,4.2,HP,575,120,80+
2,7,3,6,19.0,No,average,4.0,Leveno,835,102,80+
3,6,7,3,33.0,No,high,4.3,Apple,600,124,80+
4,7,3,0,25.0,No,average,2.5,HP,220,123,60~80
5,6,6,9,25.0,No,high,2.7,Dell,990,138,80+
6,8,3,2,34.0,Yes,high,3.9000000000000004,Asus,295,110,80+
7,5,4,1,35.0,Yes,low,3.2,Leveno,790,135,60~80
8,11,4,1,28.0,Yes,low,2.2,Asus,500,100,60~80
9,4,3,2,30.0,No,average,3.1,HP,480,110,80+
10,4,4,1,26.0,Yes,average,3.3000000000000003,Dell,510,127,60~80
11,9,4,1,22.0,Yes,average,3.2,HP,650,111,80+
12,8,3,3,19.0,No,high,2.5,Asus,785,148,80+
13,7,3,2,26.0,No,average,3.7,Leveno,440,128,80+
14,6,2,3,24.0,Yes,high,3.5,Asus,495,138,60~80
15,4,5,2,28.0,Yes,low,2.6,Leveno,610,141,60-
16,4,5,7,24.0,No,high,2.0,HP,205,141,60-
17,8,5,4,25.0,No,high,4.1000000000000005,Dell,575,120,80+
18,8,5,0,26.0,No,low,4.3,Asus,0,146,80+
19,8,1,3,31.0,No,average,2.5,Leveno,535,141,60~80
20,5,2,2,29.0,No,average,1.8,Dell,565,100,80+
21,3,6,13,30.0,Yes,average,3.7,HP,750,147,80+
22,6,4,0,19.0,Yes,average,2.1,Apple,495,148,60-
23,9,6,1,25.0,Yes,low,2.5,Acer,350,146,80+
24,8,3,0,33.0,Yes,low,2.0,Apple,485,122,80+
25,10,3,9,24.0,Yes,high,4.1000000000000005,Acer,615,105,80+
26,7,5,5,29.0,No,average,3.9000000000000004,Dell,215,142,80+
27,6,3,6,32.0,Yes,high,2.3000000000000003,HP,990,108,60~80
28,7,4,3,20.0,Yes,average,3.3000000000000003,Asus,370,100,80+
29,9,8,4,23.0,Yes,low,3.9000000000000004,Asus,600,118,80+
30,6,5,3,27.0,No,average,4.2,HP,225,109,80+
31,7,7,2,35.0,Yes,high,3.8000000000000003,HP,190,119,80+
32,6,6,13,26.0,No,low,1.9000000000000001,HP,510,125,80+
33,6,3,0,35.0,No,low,3.0,Acer,875,102,60~80
34,7,12,8,21.0,Yes,low,2.2,Apple,900,119,60-
35,7,4,0,35.0,Yes,average,4.2,HP,340,141,80+
36,9,4,9,23.0,Yes,low,3.9000000000000004,Leveno,0,136,80+
37,8,4,13,24.0,No,low,3.9000000000000004,Leveno,560,122,80+
38,7,3,0,33.0,No,high,4.1000000000000005,Asus,655,136,80+
39,8,1,9,25.0,Yes,low,3.7,HP,90,139,80+
40,6,4,0,31.0,Yes,high,2.4000000000000004,Asus,275,117,80+
41,7,5,4,22.0,Yes,high,2.9000000000000004,Apple,915,100,80+
42,7,2,1,34.0,No,average,3.7,Apple,260,145,80+
43,9,8,7,19.0,Yes,high,3.9000000000000004,HP,260,140,80+
44,4,4,3,30.0,No,average,4.1000000000000005,Dell,780,148,80+
45,3,6,1,24.0,Yes,average,2.7,Acer,350,125,60~80
46,5,8,0,32.0,Yes,average,3.1,Acer,205,114,80+
47,5,3,10,22.0,No,average,2.9000000000000004,Asus,820,146,60~80
48,8,8,0,30.0,No,low,4.0,HP,315,128,80+
49,7,4,4,32.0,Yes,low,3.2,Apple,650,145,80+
50,6,5,3,30.0,Yes,average,3.7,Acer,680,111,80+
51,9,3,10,20.0,No,low,2.1,Acer,300,148,60-
52,8,3,1,26.0,Yes,high,4.0,Dell,175,146,80+
53,7,2,1,32.0,Yes,high,1.8,Asus,375,145,60-
54,4,1,1,19.0,No,high,4.3,Acer,15,147,80+
55,6,4,13,25.0,Yes,high,2.7,Apple,845,115,80+
56,6,6,0,25.0,No,high,2.8000000000000003,Acer,380,131,60~80
57,8,5,3,31.0,Yes,high,2.0,Acer,490,116,80+
58,6,2,3,25.0,No,high,2.7,Apple,370,137,80+
59,7,3,2,24.0,Yes,high,2.8000000000000003,HP,5,142,60-
60,9,3,11,22.0,Yes,low,4.0,Leveno,385,149,80+
61,7,3,1,26.0,No,low,4.1000000000000005,HP,560,129,80+
62,6,3,8,21.0,No,high,2.1,HP,680,106,60-
63,7,3,1,25.0,No,low,4.1000000000000005,HP,510,114,80+
64,7,4,0,25.0,No,average,3.1,HP,400,143,80+
65,6,14,1,22.0,No,low,3.4000000000000004,Leveno,135,118,60-
66,5,6,1,27.0,No,average,3.5,Asus,835,141,80+
67,8,3,7,32.0,No,average,3.0,Asus,460,136,60-
68,8,5,0,19.0,No,high,3.7,Leveno,540,132,80+
69,6,4,3,22.0,No,high,2.5,Asus,40,110,60-
70,10,2,2,35.0,No,high,1.8,Dell,275,106,60~80
71,5,6,2,23.0,Yes,low,2.8000000000000003,Asus,760,142,60-
72,7,2,2,30.0,No,low,1.9000000000000001,Dell,360,131,60~80
73,7,4,2,30.0,Yes,low,2.8000000000000003,Acer,235,110,80+
74,6,8,5,20.0,No,low,2.9000000000000004,HP,385,129,60~80
75,7,6,3,26.0,Yes,average,3.5,Acer,235,122,60-
76,7,5,12,25.0,No,low,3.5,HP,450,100,80+
77,5,5,3,24.0,Yes,low,2.1,Apple,760,125,60~80
78,5,4,9,24.0,Yes,low,4.1000000000000005,Leveno,245,131,80+
79,8,3,0,26.0,No,average,2.1,Apple,660,127,80+
80,7,4,10,30.0,Yes,low,4.1000000000000005,Dell,630,104,80+
81,7,10,0,31.0,Yes,average,3.5,Leveno,860,103,80+
82,7,4,2,27.0,Yes,average,2.4000000000000004,HP,740,148,60~80
83,9,8,9,35.0,Yes,high,3.0,Acer,285,145,60-
84,3,2,1,24.0,No,average,2.4000000000000004,Leveno,650,131,60~80
85,8,2,8,26.0,Yes,high,2.7,HP,575,121,60-
86,7,3,0,26.0,Yes,high,1.9000000000000001,Apple,475,107,80+
87,10,4,4,24.0,Yes,low,3.9000000000000004,Apple,0,131,80+
88,7,6,2,22.0,No,high,2.4000000000000004,HP,560,118,60~80
89,10,4,12,26.0,Yes,average,3.0,HP,990,129,60-
90,10,2,11,24.0,No,average,4.3,Apple,235,109,80+
91,8,3,9,28.0,Yes,average,2.3000000000000003,Acer,280,118,60-
92,5,3,2,20.0,No,high,4.0,Dell,275,135,80+
93,9,4,2,22.0,No,average,3.7,Dell,580,137,80+
94,7,4,9,28.0,No,average,1.8,HP,485,112,60-
95,7,6,1,33.0,No,high,3.4000000000000004,Acer,65,138,60~80
96,9,5,11,23.0,No,average,2.7,Asus,750,101,60-
97,8,5,0,21.0,Yes,average,1.8,Acer,660,126,60-
98,9,8,8,35.0,No,average,2.1,HP,165,110,60~80
99,6,3,3,20.0,No,low,1.9000000000000001,Leveno,615,144,60-
100,10,3,2,30.0,No,high,3.2,Dell,645,116,60-
101,8,3,1,22.0,Yes,average,2.3000000000000003,Leveno,620,108,80+
102,7,4,5,25.0,No,high,2.7,Leveno,320,111,60-
103,7,5,6,32.0,No,average,2.3000000000000003,Asus,470,132,60~80
104,6,4,12,30.0,No,average,4.2,Apple,225,116,80+
105,7,3,1,32.0,No,low,3.4000000000000004,Dell,290,113,80+
106,5,2,0,21.0,No,low,2.4000000000000004,Apple,435,124,80+
107,8,6,0,27.0,Yes,low,3.8000000000000003,Apple,855,112,80+
108,5,6,12,28.0,No,average,2.0,HP,270,118,60~80
109,7,3,3,33.0,Yes,average,2.7,Asus,590,115,60-
110,7,3,0,27.0,No,high,2.0,Apple,360,124,80+
111,7,0,2,31.0,No,low,4.2,Apple,430,127,80+
112,6,4,13,21.0,No,low,2.1,HP,605,127,60-
113,6,3,6,19.0,Yes,high,2.1,HP,495,112,60-
114,3,6,2,30.0,Yes,average,2.9000000000000004,Dell,50,118,60~80
115,6,2,9,25.0,Yes,high,3.2,Acer,790,116,60-
116,6,6,2,19.0,No,high,3.3000000000000003,Asus,470,108,60-
117,5,5,8,33.0,Yes,low,2.7,Leveno,490,132,60-
118,8,8,2,25.0,Yes,high,3.1,Acer,720,100,60-
119,8,5,2,30.0,Yes,low,3.1,Leveno,290,171,80+
120,7,3,13,26.0,No,low,2.7,Apple,570,144,60-
121,7,7,1,24.0,Yes,low,1.8,HP,740,134,60-
122,6,5,1,22.0,No,average,1.8,Dell,150,130,60~80
123,9,6,2,22.0,No,high,3.7,Asus,365,126,80+
124,4,3,3,29.0,Yes,high,3.6,HP,650,149,60-
125,8,7,9,20.0,Yes,low,2.4000000000000004,Acer,130,108,60-
126,5,3,3,26.0,No,low,2.9000000000000004,Asus,715,151,80+
127,8,5,9,28.0,Yes,high,3.0,Leveno,785,137,60-
128,5,3,1,24.0,Yes,low,3.3000000000000003,Asus,485,147,60-
129,5,8,0,30.0,No,low,4.2,Apple,705,120,80+
130,5,6,4,25.0,No,high,2.5,Leveno,220,137,80+
131,5,3,1,25.0,No,low,3.9000000000000004,Leveno,205,126,80+
132,9,4,3,20.0,No,average,3.3000000000000003,Asus,615,126,60-
133,8,5,3,29.0,Yes,high,3.3000000000000003,Leveno,915,125,60-
134,4,3,3,31.0,No,average,3.7,Asus,610,100,80+
135,7,6,0,33.0,Yes,average,3.5,Asus,725,163,80+
136,7,4,2,27.0,Yes,high,3.6,Apple,820,146,80+
137,5,4,2,26.0,Yes,high,3.2,HP,575,148,60~80
138,8,4,11,23.0,No,low,2.4000000000000004,Asus,320,106,60-
139,7,4,7,24.0,Yes,average,2.6,Dell,285,138,60-
140,7,2,3,33.0,No,low,2.3000000000000003,HP,985,121,80+
141,7,3,10,26.0,No,low,1.8,HP,785,102,60-
142,8,7,3,25.0,No,low,3.7,Apple,760,111,80+
143,10,4,1,35.0,Yes,high,3.1,Leveno,545,119,80+
144,8,5,9,25.0,No,low,3.3000000000000003,Acer,605,146,60~80
145,8,3,8,21.0,No,high,3.8000000000000003,Apple,235,110,80+
146,7,7,11,19.0,Yes,low,1.8,Leveno,200,111,60-
147,6,2,1,29.0,No,high,3.7,Leveno,825,110,80+
148,7,7,2,35.0,No,average,2.1,Asus,525,102,80+
149,3,7,6,20.0,No,high,3.1,HP,595,118,60-
150,10,3,6,34.0,No,low,2.1,Apple,300,144,60-
151,6,3,1,30.0,Yes,low,2.8000000000000003,Dell,640,109,60~80
152,6,6,2,29.0,Yes,average,4.0,Leveno,385,145,80+
153,6,3,1,25.0,Yes,low,2.0,Apple,540,111,60-
154,10,8,5,20.0,Yes,low,3.8000000000000003,Dell,285,108,80+
155,7,4,7,24.0,No,high,3.8000000000000003,Asus,650,147,80+
156,7,8,13,26.0,Yes,low,4.2,Leveno,560,178,80+
157,7,4,6,32.0,No,average,3.9000000000000004,Asus,990,133,80+
158,6,6,8,31.0,No,low,1.8,HP,475,112,60~80
159,7,2,0,19.0,No,low,1.9000000000000001,Acer,0,123,60-
160,6,6,0,22.0,No,high,3.4000000000000004,HP,515,149,60-
161,9,4,1,21.0,Yes,high,3.5,HP,740,120,60-
162,9,3,7,27.0,Yes,average,4.3,HP,765,101,80+
163,6,8,6,27.0,No,average,2.2,Apple,545,120,60~80
164,6,4,13,26.0,Yes,high,4.3,Acer,905,145,80+
165,7,5,10,27.0,Yes,low,3.1,Asus,205,132,60-
166,4,5,13,33.0,No,low,2.9000000000000004,HP,210,124,80+
167,8,3,0,29.0,Yes,low,3.6,Leveno,480,132,60-
168,4,7,3,31.0,Yes,low,4.1000000000000005,Leveno,660,123,80+
169,4,3,3,23.0,No,high,4.0,Apple,810,112,80+
170,10,7,2,30.0,No,average,3.5,Leveno,210,121,60-
171,7,3,8,22.0,No,average,4.2,Asus,990,109,80+
172,7,8,7,21.0,No,average,3.0,Dell,550,113,60~80
173,6,4,5,20.0,Yes,low,1.9000000000000001,Apple,400,120,60-
174,6,3,4,35.0,Yes,low,3.4000000000000004,Dell,820,136,60~80
175,6,5,2,27.0,Yes,low,3.3000000000000003,Apple,920,105,60~80
176,6,4,4,21.0,No,high,4.0,Apple,510,149,80+
177,10,4,8,35.0,No,low,3.5,Dell,630,129,60-
178,8,2,1,29.0,Yes,average,2.6,Leveno,620,117,60~80
179,11,7,4,19.0,No,average,3.2,HP,830,119,60~80
180,10,3,4,26.0,No,low,2.9000000000000004,HP,625,137,60~80
181,8,3,7,31.0,Yes,high,3.8000000000000003,Asus,70,117,80+
182,6,6,0,35.0,Yes,high,3.4000000000000004,Leveno,510,125,80+
183,7,3,3,21.0,Yes,high,1.8,Dell,990,106,60-
184,6,7,1,21.0,No,low,2.1,Dell,380,140,60~80
185,5,7,0,33.0,Yes,low,4.0,Asus,300,134,80+
186,7,3,0,27.0,No,low,2.4000000000000004,Acer,385,114,80+
187,6,3,1,20.0,No,high,3.7,Asus,780,112,80+
188,8,2,0,25.0,Yes,average,3.5,Dell,375,173,80+
189,4,4,1,28.0,No,low,2.3000000000000003,Leveno,360,137,60-
190,6,4,0,27.0,Yes,average,3.3000000000000003,Dell,445,147,60-
191,8,3,2,30.0,Yes,average,3.8000000000000003,Asus,650,110,80+
192,9,4,6,29.0,Yes,low,3.5,Acer,630,140,60-
193,8,6,2,27.0,Yes,low,2.4000000000000004,HP,540,147,60-
194,6,8,7,33.0,No,low,3.6,Asus,860,123,60~80
195,5,3,0,21.0,No,high,3.3000000000000003,Acer,615,104,60~80
196,6,6,2,29.0,No,low,3.0,Apple,90,110,60-
197,8,3,1,19.0,No,average,2.9000000000000004,Acer,975,134,80+
198,5,8,7,32.0,No,low,3.4000000000000004,Leveno,555,137,80+
199,8,6,12,19.0,No,average,3.3000000000000003,Asus,185,123,60~80
200,9,5,3,32.0,No,low,3.1,Leveno,990,142,60~80
201,5,3,2,34.0,No,high,2.2,Acer,510,124,80+
202,8,7,3,27.0,No,average,2.7,Apple,345,139,60~80
203,6,5,2,30.0,Yes,average,2.2,Asus,690,179,80+
204,8,7,9,24.0,Yes,average,4.0,Acer,490,139,80+
