Avg sleep time,Avg study time,Avg video game time,BMI,In a relationship,Family financial status,GPA,Laptop brand,TOEIC grade,IQ,Grade
7,3,0,33.0,No,average,3.0,Dell,585,110,60-
10,3,9,32.0,Yes,high,1.8,Acer,725,131,60-
8,4,3,24.0,No,average,2.9000000000000004,Asus,800,136,80+
6,3,3,26.0,Yes,high,3.6,MSI,565,145,60-
6,4,2,26.0,Yes,average,2.4000000000000004,Acer,190,142,60-
10,4,3,33.0,No,low,3.6,Microsoft,115,121,60~80
7,5,3,23.0,Yes,high,3.0,MSI,360,110,60-
6,6,0,19.0,No,high,2.2,Asus,245,129,80+
7,7,2,23.0,Yes,low,2.6,MSI,350,139,60~80
6,8,12,31.0,Yes,high,2.7,Asus,280,137,60-
9,11,3,30.0,Yes,average,2.1,MSI,510,123,60~80
7,8,2,32.0,No,average,4.0,Others,845,149,80+
7,4,10,21.0,No,average,3.4000000000000004,Dell,170,124,60-
7,5,5,34.0,Yes,high,2.8000000000000003,MSI,230,105,60-
5,9,2,27.0,No,high,3.7,Dell,810,107,80+
6,3,2,19.0,No,average,3.2,Asus,230,105,80+
7,4,11,27.0,Yes,average,2.2,Dell,655,139,60-
7,12,6,20.0,No,low,2.8000000000000003,Razer,510,121,60-
8,5,11,27.0,No,average,3.0,Microsoft,360,116,60-
5,2,3,32.0,No,high,2.8000000000000003,MSI,940,136,60~80
10,1,13,32.0,Yes,average,2.1,Apple,220,117,60-
8,5,13,33.0,Yes,high,2.2,Razer,365,108,60-
7,2,0,33.0,Yes,low,3.3000000000000003,Dell,825,174,80+
6,2,9,24.0,No,average,4.3,Asus,605,146,80+
6,3,0,24.0,No,high,3.0,Asus,330,129,60~80
4,7,2,21.0,Yes,high,3.0,Acer,280,131,60-
8,2,2,26.0,Yes,low,2.7,Asus,520,115,80+
9,3,3,28.0,No,high,2.1,MSI,245,130,60-
7,4,3,32.0,No,high,3.3000000000000003,Others,170,105,60-
8,4,2,26.0,No,average,3.5,Apple,305,133,60~80
12,8,3,24.0,Yes,average,3.1,Acer,505,134,80+
8,5,1,19.0,No,average,2.3000000000000003,Others,455,143,60~80
5,2,3,27.0,No,average,2.6,Dell,245,126,60-
8,6,2,31.0,No,low,2.2,Others,460,109,60-
5,4,9,35.0,Yes,average,1.9000000000000001,Asus,365,147,60-
8,8,0,33.0,No,low,3.1,MSI,815,166,80+
7,6,3,31.0,Yes,high,3.0,HP,180,101,80+
7,4,13,23.0,No,average,3.3000000000000003,Acer,445,144,60-
6,2,3,23.0,No,high,3.0,Apple,300,130,80+
8,4,2,31.0,No,low,2.1,Leveno,160,102,80+
8,8,6,24.0,No,low,2.2,Dell,330,144,80+
7,3,7,33.0,No,average,2.6,Asus,435,117,60-
8,5,1,20.0,Yes,low,1.9000000000000001,Leveno,285,123,60-
5,2,3,19.0,Yes,high,2.8000000000000003,Dell,375,145,60~80
3,8,2,26.0,No,high,2.9000000000000004,HP,565,116,80+
10,2,0,23.0,No,high,4.3,MSI,725,112,80+
4,9,2,29.0,Yes,average,4.1000000000000005,Dell,625,136,80+
8,7,13,30.0,Yes,average,4.0,Others,340,100,80+
